LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Arnica lonchophylla,Longleaf Arnica,Shade,"Moist/Dry, Rocky","Disturbed Sites, Montane/Alpine, Open Forest, Riparian Green Roof",Plug,Native Perennials
Artemisia frigida,Pasture Sage,Sun,"Dry, Well Drained, Drought Tolerant","Disturbed Sites, Green Roof, Grassland, Interior, Open Forest","Plug, Container",Native Perennials
Aruncus sylvestris (dioicus),Goat's Beard,Shade/Partial Shade,"Moist, Humus","Riparian, Shade Forest, Disturbed Sites",Container,Native Perennials
Asclepias incarnata,Swamp Milkweed,Sun,Moist/Wet,"Grassland, Wetland, Riparian",Inquire,Native Perennials
Asclepias speciosa,Showy Milkweed,Sun,"Well Drained, Moist/Dry, Rocky/Sandy","Grassland, Forest Edge",Inquire,Native Perennials
Aster alpigenus (Oreostemma alpigenum),Alpine Aster,Sun,Well Drained,"Montane/Alpine, Green Roof","Plug, Container",Native Perennials
Aster conspicuus (Eurybia conspicua),Showy Aster,Sun,Moist/Dry,"Grassland, Open Forest, Montane/Alpine",Inquire,Native Perennials
Aster (Symphyotrichum) ericoides,Heath Aster,Sun,"Dry/Moist,Well Drained Sandy/Rocky, Drought Tolerant","Open Forest, Grassland, Disturbed Sites",Inquire,Native Perennials
Aster laevis (Symphyotrichum laeve),Smooth Blue Aster,Sun,"Dry/Moist, Sandy, Well Drained","Open Forest, Grassland, Disturbed Sites",Plug,Native Perennials
Aster subspicatus,Douglas Aster,Sun,"Moist, Humus","Grassland, Green Roof","Plug, Container",Native Perennials
Astragalus canadensis,Canadian Milkvetch,Sun/Partial Shade,Wet/Moist/Dry,"Grassland, Open Forest, Wetland",Inquire,Native Perennials
Brodiaea coronaria,Harvest Brodiaea,Sun,"Moist/Dry, Well Drained","Grassland, Green Roof","Plug, Container",Native Perennials
Brodiaea (Triteleia) hyacinthina,Fool's Onion,Sun,"Dry/Moist, Well Drained, Rocky","Grassland, Green Roof","Plug, Container",Native Perennials
Camassia leichtlinii,Great Camas,Sun/Partial Shade,"Moist, Humus, Acidic","Grassland, Open Forest, Green Roof",Inquire,Native Perennials
Camassia quamash,Common Camas,Sun,"Moist/Dry, Humus","Grassland, Green Roof","Plug, Container",Native Perennials
Campanula rotundifolia,Harebell,Sun/Partial Shade,"Moist, Well Drained, Rocky","Grassland, Open Forest, Green Roof","Plug, Container",Native Perennials
Castilleja hispida,Harsh Indian Paintbrush,Sun,Moist,"Grassland, Open Forest, Montane/Alpine, Green Roof",Plug,Native Perennials
Castilleja miniata,Indian Paintbrush,Sun,"Wet/Dry, Well Drained","Grassland, Shoreline, Disturbed Sites, Open Forest, Montane/Alpine, Green Roof",Plug,Native Perennials
Chrysopsis (Heterotheca) villosa,Hairy Golden Aster,Sun,"Well Drained, Moist/Dry, Sandy, Drought Tolerant","Disturbed Sites, Grassland, Riparian, Montane/Alpine, Green Roof",Plug,Native Perennials
Delphinium menziesii,Menzies' Larkspur,Sun/Partial Shade,"Well Drained, Moist","Grassland, Open Forest",Inquire,Native Perennials
Dicentra formosa,Pacific Bleeding Heart,Shade,"Moist/Wet, Humus","Shade Forest, Riparian","Plug, Container",Native Perennials
Disporum (Prosartes) hookeri,Hooker's Fairybells,Shade/Partial Shade,"Moist, Humus","Shade Forest, Montane/Alpine","Plug, Container",Native Perennials
Dodecatheon hendersonii,Broad-leaved Shooting Star,Sun/Partial Shade,"Well Drained, Moist/Dry","Shade Forest, Open Forest","Plug, Container",Native Perennials
Dodecatheon pulchellum,Few-flowered Shooting Star,Sun/Partial Shade,Wet/Moist,"Shoreline, Grassland, Riparian, Salt Marsh",Inquire,Native Perennials
Epilobium (Chamerion) angustifolium,Fireweed,Sun/Partial Shade,Moist/Dry,"Disturbed Sites, Forest Edge, Montane/Alpine",Inquire,Native Perennials
Erigeron compositus,Cut-Leaved Daisy,Sun,"Dry, Rocky","Grassland, Montane/Alpine, Green Roof",Plug,Native Perennials
Erigeron peregrinus,Subalpine Fleabane Daisy,Sun,"Moist/Wet, Acidic","Riparian, Bog, Grassland, Montane/Alpine, Green Roof",Plug,Native Perennials
Erigeron philadelphicus,Philadelphia Fleabane Daisy,Sun,"Well Drained, Moist","Disturbed Sites, Grassland, Riparian, Open Forest, Green Roof",Inquire,Native Perennials
Erigeron speciosus,Showy Fleabane Daisy,Sun,Moist/Dry,"Open Forest, Forest Edge",Inquire,Native Perennials
Eriogonum umbellatum,Sulfur Buckwheat,Sun,"Moist/Dry,Sandy/Rocky,Well Drained,Drought Tolerant","Grassland, Open Forest, Forest Edge, Montane/Alpine",Inquire,Native Perennials
Eriophyllum lanatum,Woolly Sunflower,Sun,"Dry, Rocky, Well Drained, Drought Tolerant","Shoreline, Grassland, Disturbed Sites, Green Roof","Plug, Container",Native Perennials
Erythronium grandiflorum,Yellow Glacier Lily,Sun/Partial Shade,"Moist, Well Drained, Humus","Grassland, Riparian, Montane/Alpine",Container,Native Perennials
Erythronium oregonum,White Fawn Lily,Sun,"Dry/Moist, Well Drained, Rocky","Open Forest, Grassland","Plug, Container",Native Perennials
Erythronium revolutum,Pink Fawn Lily,Sun/Shade,"Moist, Humus","Riparian, Open Forest, Grassland","Plug, Container",Native Perennials
Eschscholzia californica,California Poppy,Sun/Partial Shade,Moist/Dry,"Grassland, Disturbed Sites, Green Roof",Inquire,Native Perennials
Fritillaria lanceolata (affinis),Chocolate Lily,Sun/Partial Shade,"Well Drained, Moist, Humus","Grassland, Open Forest",Container,Native Perennials
Gaillardia aristata,Brown-eyed Susan,Sun,"Moist/Dry, Well Drained","Grassland, Disturbed Sites, Green Roof",Plug,Native Perennials
Galium boreale,Northern Bedstraw,Sun/Partial Shade,"Moist, Well Drained","Grassland, Green Roof",Inquire,Native Perennials
Geranium viscosissimum,Sticky Geranium,Sun/Partial Shade,"Moist/Dry, Well Drained","Grassland, Open Forest, Montane/Alpine",Inquire,Native Perennials
Geum macrophyllum,Large-leaved Avens,Sun/Shade,Moist,"Riparian, Grassland, Open Forest, Shade Forest, Green Roof","Plug, Container",Native Perennials
Geum triflorum,Prairie Smoke,Sun/Partial Shade,"Well Drained, Moist/Dry","Grassland, Montane/Alpine, Green Roof","Plug, Container",Native Perennials
Heracleum lanatum (maximum),Cow Parsnip,Sun/Shade,Moist/Wet,"Riparian, Shoreline, Wetland, Grassland, Disturbed Sites",Plug,Native Perennials
Heuchera cylindrica,Round-leaved Alumroot,Partial Shade/Sun,"Well Drained, Rocky, Moist/Dry","Open Forest, Montane/Alpine, Green Roof",Plug,Native Perennials
Heuchera micrantha,Small-flowered Alumroot,Partial Shade/Shade,"Moist, Well Drained, Rocky","Shade Forest, Riparian, Green Roof",Plug,Native Perennials
Iris tenax,Oregon Iris,Sun/Partial Shade,Moist/Dry,"Grassland, Forest Edge, Disturbed Sites","Plug, Container",Native Perennials
Lathyrus japonicus (maritimus),Beach Pea,Sun,"Sandy/Rocky, Moist/Dry, Well Drained",Shoreline,Inquire,Native Perennials
Lilium columbianum,Tiger Lily,Sun/Partial Shade,"Moist, Humus, Well Drained","Grassland, Open Forest, Forest Edge, Riparian, Montane/Alpine",Container,Native Perennials
Liatris ligulistylis,Meadow Blazing Star,Sun/Partial Shade,"Moist, Well Drained, Sandy","Open Forest, Forest Edge, Grassland",Inquire,Native Perennials
Linum lewisii,Wild Blue Flax,Sun,"Moist/Dry, Well Drained, Drought Tolerant","Grassland, Open Forest, Disturbed Sites, Green Roof, Interior",Inquire,Native Perennials
Lupinus arcticus,Arctic Lupine,Sun/Partial Shade,"Moist/Dry, Well Drained","Grassland, Open Forest, Disturbed Sites, Montane/Alpine",Inquire,Native Perennials
Lupinus littoralis,Seashore Lupine,Sun,"Moist/Dry, Sandy, Well Drained",Shoreline,Inquire,Native Perennials
Lupinus polyphyllus,Large-leaved Lupine,Sun/Partial Shade,Moist/Dry,"Riparian, Grassland, Forest Edge, Disturbed Sites, Interior","Plug, Container",Native Perennials
Lupinus rivularis,Riverbank Lupine,Sun,"Wet/Moist, Well Drained, Sandy/Rocky","Riparian, Grassland",Inquire,Native Perennials
Lupinus sericeus,Silky Lupine,Sun,"Dry, Rocky, Well Drained","Grassland, Open Forest, Interior",Inquire,Native Perennials
Lomatium utriculatum,Spring Gold,Sun/Partial Shade,"Well Drained, Rocky, Moist/Dry","Grassland, Open Forest",Inquire,Native Perennials
Maianthemum dilatatum,False Lily-of-the- Valley,Shade,"Moist, Humus","Shade Forest, Riparian",Container,Native Perennials
Maianthemum racemosa (Smilacina),False Solomon's Seal,Partial Shade,"Moist, Humus","Shade Forest, Forest Edge, Grassland, Riparian",Container,Native Perennials
Maianthemum stellata (Smilacina),Star Flowered False Solomon's Seal,Sun/Partial Shade,"Moist, Humus","Shade Forest, Open Forest, Riparian, Montane/Alpine",Container,Native Perennials
Micranthes (Saxifraga) oregana,Oregon Saxifrage,Sun,Moist,"Wetland, Riparian, Montane/Alpine",Inquire,Native Perennials
Mimulus lewisii,Great Purple Monkey,Sun/Partial Shade,Wet/Moist,"Montane/Alpine, Riparian, Grassland",Inquire,Native Perennials
Olsynium douglasii (Sisyrinchium),Douglas Blue-eyed Grass,Sun/Partial Shade,"Moist/Wet/Dry, Well Drained","Open Forest, Green Roof",Container,Native Perennials
Penstemon confertus,Yellow Penstemon,Sun,"Moist/Dry, Well Drained","Grassland, Open Forest, Montane/Alpine, Interior, Green Roof",Inquire,Native Perennials
Penstemon davidsonii,Davidson's Penstemon,Sun/Partial Shade,"Moist/Dry, Rocky, Well Drained","Open Forest, Montane/Alpine, Green Roof","Plug, Container",Native Perennials
Penstemon fruticosus,Bush Penstemon,Sun-Partial Shade,"Moist/Dry, Rocky, Well Drained","Open Forest, Montane/Alpine, Interior, Green Roof",Inquire,Native Perennials
Penstemon gormanii,Gorman's Beard Tongue,Sun,"Dry, Sandy/Rocky","Riparian, Disturbed Sites, Montane/Alpine, Interior",Inquire,Native Perennials
Penstemon procerus,Small Penstemon,Sun,"Dry/Moist, Rocky/Sandy","Montane/Alpine, Open Forest, Grassland, Interior",Plug,Native Perennials
Penstemon serrulatus,Coast Penstemon,Sun/Partial Shade,Moist/Wet,"Riparian, Open Forest",Plug,Native Perennials
Potentilla nivea,Showy Cinquefoil,Sun,Dry/Moist. Rocky/Sandy,"Montane/Alpine, Grassland, Interior, Green Roof",Inquire,Native Perennials
Prunella vulgaris,Self Heal,Sun/Shade,Moist/Dry,"Open Forest, Disturbed Sites, Grassland, Montane/Alpine, Riparian, Forest Edge, Green Roof",Plug,Native Perennials
Saxifraga tricuspidata,Three-toothed Saxifrage,Sun,"Dry, Rocky, Acidic, Well Drained","Grassland, Interior, Green Roof",Inquire,Native Perennials
Sidalcea hendersonii,Henderson's Checker-mallow,Sun/Partial Shade,Moist/Wet,"Grassland, Shoreline",Inquire,Native Perennials
Silene drummondii,Drummond's Campion,Sun,"Dry, Sandy/Rocky","Grassland, Open Forest, Montane/Alpine, Interior",Inquire,Native Perennials
Sisyrinchium californicum,California Yellow-eyed Grass,Sun,Moist/Wet,"Riparian, Grassland, Wetland, Bog, Green Roof",Plug,Native Perennials
Sisyrinchium idahoense,Idaho Blue-eyed Grass,Sun/Partial Shade,Moist/Wet,"Riparian, Grassland, Green Roof","Plug, Container",Native Perennials
Solidago canadensis,Goldenrod,Sun/Partial Shade,Moist/Dry,"Grassland, Forest Edge, Disturbed Sites, Green Roof","Plug, Container",Native Perennials
Solidago multiradiata,Northern Goldenrod,Sun,Moist/Dry,"Grassland, Open Forest, Montane/Alpine, Green Roof",Plug,Native Perennials
Tellima grandiflora,Fringecup,Partial Shade/Shade,Moist,"Shade Forest, Riparian, Green Roof","Plug, Container",Native Perennials
Tiarella trifoliata,Foamflower,Partial Shade/Shade,Moist,"Shade Forest, Riparian, Grassland, Montane/Alpine","Plug, Container",Native Perennials
Tolmiea menziesii,Piggy-back Plant,Shade/Partial Shade,"Moist, Humus","Shade Forest, Riparian","Plug, Container",Native Perennials
Vancouveria hexandra,Inside-out Flower,Partial Shade,"Moist/Dry, Humus",Shade Forest,"Plug, Container",Native Perennials
Viola adunca,Early Blue Violet,Sun/Partial Shade,Moist,"Open Forest, Forest Edge, Grassland, Disturbed Sites","Plug, Container",Native Perennials
Viola praemorsa,Yellow Montane,Sun,Dry,"Grassland, Open Forest",Inquire,Native Perennials
Viola sempervirens,Trailing Yellow Violet,Shade/Partial Shade,Moist,Shade Forest,Container,Native Perennials
Xerophyllum tenax,Beargrass,Sun/Partial Shade,"Moist, Well Drained","Grassland, Open Forest, Forest Edge, Montane/Alpine",Inquire,Native Perennials
