LATIN,COMMON,SUN,SOIL,HABITAT,SPEC SIZES,CATEGORY
Rosa nutkana,Nootka Rose,Sun/Partial Shade,Dry/Moist/Wet,"Shoreline, Riparian, Forest Edge, Grassland, Disturbed Sites","Plug, Container",Native Shrubs
Rosa pisocarpa,Clustered Wild Rose,Sun/Partial Shade,Dry/Moist/Wet,"Riparian, Wetland","Plug, Container",Native Shrubs
Rosa woodsii,Prairie Rose,Sun,"Moist/Dry, Rocky, Well Drained,Drought Tolerant","Grassland, Riparian, Disturbed Sites, Montane/Alpine, Interior","Plug, Container",Native Shrubs
Rubus leucodermis,Black Raspberry,Sun/Partial Shade,"Moist, Well Drained, Rocky","Forest Edge, Open Forest, Montane/Alpine","Plug, Container",Native Shrubs
Rubus parviflorus,Thimbleberry,Sun/Partial Shade,Moist/Dry,"Riparian, Open Forest, Forest Edge","Plug, Container",Native Shrubs
Rubus spectabilis,Salmonberry,Sun/Shade,Moist/Wet,"Riparian, Wetland, Open Forest, Shade Forest, Forest Edge","Plug, Container",Native Shrubs
Rubus ideaus strigosus,Wild Red Raspberry,Sun/Partial Shade,"Dry/Moist, Rocky","Open Forest, Grassland, Disturbed Sites, Interior, Montane/Alpine","Plug, Container",Native Shrubs
Rubus ursinus,Trailing Blackberry,Sun/Partial Shade,Moist/Dry,"Open Forest, Grassland, Disturbed Sites","Plug, Container",Native Shrubs
Salix bebbiana,Bebb's Willow,Sun,Moist,"Riparian, Grassland, Wetland,",Plug,Native Shrubs
Salix hookeriana,Hooker's Willow,Sun/Partial Shade,"Wet/Moist, Sandy/Rocky","Riparian, Wetland, Shoreline","Plug, Container, Live Stake",Native Shrubs
Salix lasiandra,Pacific Willow,Sun,Wet/Moist,"Riparian, Wetland, Shoreline, Open Forest","Plug, Container, Live Stake",Native Shrubs
Salix scouleriana,Scouler's Willow,Sun/Partial Shade,"Wet/Moist/Dry, Drought Tolerant","Riparian, Open Forest, Montane/Alpine","Plug, Container, Live Stake",Native Shrubs
Salix sitchensis,Sitka Willow,Sun/Partial Shade,Wet/Moist/Dry,"Riparian, Wetland, Open Forest,","Plug, Container, Live Stake",Native Shrubs
Sambucus cerulea,Blue Elderberry,Sun,Moist/Dry,"Open Forest, Forest Edge, Grassland, Interior","Plug, Container",Native Shrubs
Sambucus racemosa,Red Elderberry,Sun/Shade,Moist/Wet,"Open Forest, Riparian, Grassland,","Plug, Container",Native Shrubs
Shepherdia canadensis,Buffaloberry (Soopalallie),Sun/Partial Shade,"Dry/Moist,Well Drained,Rocky,Drought Tolerant","Open Forest, Grassland, Montane/Alpine",Inquire,Native Shrubs
Sorbus scopulina,Western Mountain Ash,Sun/Partial Shade,Moist,"Riparian, Forest Edge, Open Forest,",Plug,Native Shrubs
Sorbus sitchensis,Sitka Mountain Ash,Sun/Partial Shade,Moist,"Open Forest, Forest Edge, Riparian,",Inquire,Native Shrubs
Spiraea betulifolia,Birch Leafed Spiraea,Sun/Partial Shade,Moist/Dry,"Open Forest, Riparian, Montane/Alpine","Plug, Container",Native Shrubs
Spiraea densiflora,Mountain Spiraea,Sun/Partial Shade,"Moist, Well Drained","Open Forest, Riparian, Montane/Alpine","Plug, Container",Native Shrubs
Spiraea douglasii,Hardhack,Sun/Partial Shade,Wet/Moist,"Riparian, Wetland, Bog","Plug, Container",Native Shrubs
Symphoricarpos albus,Common Snowberry,Sun/Partial Shade,"Moist/Dry, Drought Tolerant","Open Forest, Forest Edge, Interior","Plug, Container",Native Shrubs
Symphoricarpos mollis,Trailing Snowberry,Sun,"Well Drained, Moist/Dry, Rocky/Sandy","Open Forest, Forest Edge","Plug, Container",Native Shrubs
Vaccinium caespitosum,Dwarf Bilberry,Partial Shade,"Dry/Wet, Well Drained, Acidic","Shade Forest, Open Forest, Bog, Grassland, Montane/Alpine","Plug, Container",Native Shrubs
Vaccinium membranaceum,Black Huckleberry,Sun/Shade,"Moist/Dry, Acidic","Shade Forest, Open Forest, Forest Edge, Riparian","Plug, Container",Native Shrubs
Vaccinium ovalifolium,Oval-leaved Blueberry,Partial Shade/Shade,"Moist/Wet, Humus, Acidic","Shade Forest, Open Forest, Bog,","Plug, Container",Native Shrubs
Vaccinium ovatum,Evergreen Huckleberry,Sun/Partial Shade,"Moist, Well Drained","Shade Forest, Open Forest, Forest Edge, Riparian, Shoreline","Plug, Container",Native Shrubs
Vaccinium parvifolium,Red Huckleberry,Shade/Partial Shade,"Moist,Humus,Acidic",Shade Forest,"Plug, Container",Native Shrubs
Vaccinium scoparium,Grouseberry,Partial Shade,"Dry/Moist,Well Drained,Rocky/Sandy,Acidic","Montane/Alpine, Open Forest, Grassland",Inquire,Native Shrubs
Vaccinium uliginosum,Bog Blueberry,Sun/Partial Shade,"Wet/Moist,Well Drained,Acidic,Humus","Bog, Montane/Alpine","Plug, Container",Native Shrubs
Vaccinium vitis-idaea,Lingonberry,Sun/Partial Shade,"Wet/Moist/Dry, Acidic","Open Forest, Grassland, Bog,","Plug, Container",Native Shrubs
Viburnum edule,Highbush Cranberry,Sun/Partial Shade,Moist/Wet,"Shade Forest, Riparian, Wetland, Grassland",Inquire,Native Shrubs
